filename,year_month,title,avg_sentiment
2023-10-09_3281.txt,2023-10,"‘Necessary’ to stand with both Israelis, Palestinians, UN rapporteur says",0.77
2023-10-11_3231.txt,2023-10,Putin concerned over ‘catastrophic’ civilian deaths in Israel-Gaza war,0.56
2023-10-16_3102.txt,2023-10,China prepares for Belt and Road summit in shadow of Israel-Gaza war,0.83
2023-10-13_3167.txt,2023-10,Israel attacks on Gaza refugee camp kills dozens of Palestinians,0.47
2023-10-29_2750.txt,2023-10,Can Elon Musk’s Starlink provide internet service to Gaza?,0.77
2023-10-07_3304.txt,2023-10,Aftermath of the attacks on Israel in Ashkelon,0.57
2024-01-08_1466.txt,2024-01,US officials renew calls for Israel to reduce civilian casualties in Gaza,0.75
2023-10-07_3308.txt,2023-10,Scenes from Hamas’s morning rocket attack on Israel,0.6
2023-10-21_2954.txt,2023-10,"Atop a Jerusalem mountain, a cafe of rare coexistence in a divided city",0.92
2024-01-18_1359.txt,2024-01,"Aid for Israeli captives, Palestinians reaches Gaza despite challenges",0.67
2023-10-13_3143.txt,2023-10,"After outcry over Ukraine, big business muted on Israel-Hamas war",0.68
2023-10-30_2728.txt,2023-10,‘Many players have died’: Israel’s war on Gaza hits Palestinian football,0.77
2024-01-11_1436.txt,2024-01,Day one of the ICJ genocide hearing against Israel: Key takeaways,0.72
2024-01-14_1403.txt,2024-01,"Portuguese FM: Ukraine can prevail, Russia a ‘Paper Tiger’",1.0
2023-10-13_3150.txt,2023-10,"Israel is losing its value as an ally for the West, Arab states",0.75
2023-10-16_3108.txt,2023-10,Analysis: Why is so much anti-Palestinian disinformation coming from India?,0.69
2023-10-10_3253.txt,2023-10,"Israel and Hamas war: List of key events, day 4 after surprise attack",1.0
2024-01-22_1306.txt,2024-01,US demands ‘urgent’ Israeli probe into Palestinian-American child’s death,0.7
2024-01-26_1273.txt,2024-01,Has Israel realised that it can’t ‘eradicate’ Hamas?,0.6
2024-01-06_1482.txt,2024-01,"Thousands protest in Israel demanding captive release, government to resign",0.88
2023-10-13_3153.txt,2023-10,Celtic fans pledge ‘unequivocal support’ for Palestine despite backlash,0.88
2023-10-30_2737.txt,2023-10,‘I’ve lost contact’: Surviving Israeli bombs amid communications blackout,0.59
2024-01-09_1459.txt,2024-01,British FM ‘worried’ Israel may have breached international law in Gaza,0.56
2023-10-13_3147.txt,2023-10,Analysis: Israel’s Gaza invasion could test its occupation of the West Bank,0.65
2023-10-09_3285.txt,2023-10,"Israel-Hamas war updates: Gaza under ‘total blockade’, refugee camp hit",1.0
2023-10-26_2840.txt,2023-10,How the US has used its veto power at the UN in support of Israel,0.73
2024-01-14_1405.txt,2024-01,"Israel’s war on Gaza: List of key events, day 100",1.0
2024-01-08_1468.txt,2024-01,How a parkour group in Gaza turns war ruins into sporting arenas,0.91
2023-10-14_3126.txt,2023-10,The crucial context of Israel’s war on Gaza,1.0
2024-01-25_1285.txt,2024-01,‘Medicine in Gaza’: A doctor’s guide to treating Gaza’s sick and wounded,0.72
2023-10-28_2780.txt,2023-10,Gaza’s journalists: Reporting under Israeli bombardment,1.0
2024-01-15_1395.txt,2024-01,Palestine to Africa: How maps lie — and some tell the truth,0.96
2023-10-29_2753.txt,2023-10,Palestine Red Crescent says Israel orders evacuation of al-Quds Hospital,0.83
2024-01-06_1491.txt,2024-01,Why is Lebanon home to so many Palestinian refugees and leaders?,0.82
2024-01-16_1376.txt,2024-01,US claims seizure of Iranian weapons bound for Yemen’s Houthis,0.75
2023-10-27_2816.txt,2023-10,"Israeli air strikes kill dozens in Gaza overnight, Palestinian sources say",0.86
2024-01-30_1224.txt,2024-01,Hamas studying three-phase Gaza truce plan as Israeli hardliners warn PM,0.85
2023-10-02_3317.txt,2023-10,"As Arab-Israeli normalisation expands, where do Palestinians fit?",1.08
2023-10-31_2695.txt,2023-10,Is the trajectory of Lebanon-Israel border conflict changing?,0.59
2023-10-13_3159.txt,2023-10,Palestinians pack ’emergency’ bags as Israeli bombs rain down on Gaza,0.62
2024-01-02_1524.txt,2024-01,What does a ‘new phase’ in Israel’s war on Gaza entail?,0.86
